
Summary,GUA
Emissions
,CO2e_CEM,170.152
,CO2e_CAL,10.8975
,CO2e_VID,0.9491
,CO2e_CARBONATO,2.4389
,CO2e_HIER,1.7343
,CO2e_FERRO,0.0461
,CO2e_LUB,1.9735
,CO2e_CERAS,0.3872
,CO2e_RAC,31.86

Cost,419.152

TID Demand

,GUA
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAW_MAT_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RAW_MAT_CEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLK_PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CEM_PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E5_CEM_PRODCEM_PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time Dependent Demand (Energy Units)

,GUA
Fuel,Timeslice,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAW_MAT_CLK,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAW_MAT_CEM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_PROD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEM_PROD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5_CEM_PRODCEM_PROD,All,2.75405,2.86702,2.92,3.62112,3.8986,5.708,6.09614,6.51068,6.95341,7.42624,7.93122,8.47055,9.04654,9.66171,10.3187,11.0204,11.7698,12.5701,13.4249,14.3378,15.3127,16.354,17.4661,18.6538,19.9222,21.2769,22.7238,24.269,25.9193,27.6818,29.5641,31.5745,33.7216

Time Dependent Production (Energy Units) Test

,GUA
Fuel,Timeslice,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAW_MAT_CLK,All,1.90305,1.96592,2.6452,2.42977,2.63935,3.90998,4.18376,4.4767,4.79013,5.12548,5.48429,5.86821,6.27897,6.71847,7.1887,7.69182,8.23012,8.80606,9.42227,10.0816,10.787,11.5417,12.3492,13.2131,14.1374,15.1263,16.1844,17.3164,18.5275,19.8232,21.2095,22.6927,24.2795
RAW_MAT_CEM,All,0.851001,0.901104,1.2534,1.19135,1.25925,1.79802,1.91238,2.03399,2.16328,2.30076,2.44693,2.60234,2.76757,2.94324,3.13001,3.32856,3.53965,3.76405,4.0026,4.25619,4.52576,4.81232,5.11691,5.44068,5.78482,6.15061,6.53939,6.95261,7.39179,7.85855,8.35461,8.88179,9.44204
CLK_PROD,All,1.90305,1.96592,2.6452,2.42977,2.63935,3.90998,4.18376,4.4767,4.79013,5.12548,5.48429,5.86821,6.27897,6.71847,7.1887,7.69182,8.23012,8.80606,9.42227,10.0816,10.787,11.5417,12.3492,13.2131,14.1374,15.1263,16.1844,17.3164,18.5275,19.8232,21.2095,22.6927,24.2795
CEM_PROD,All,2.75405,2.86702,3.8986,3.62112,3.8986,5.708,6.09614,6.51068,6.95341,7.42624,7.93122,8.47055,9.04654,9.66171,10.3187,11.0204,11.7698,12.5701,13.4249,14.3378,15.3127,16.354,17.4661,18.6538,19.9222,21.2769,22.7238,24.269,25.9193,27.6818,29.5641,31.5745,33.7216
E5_CEM_PRODCEM_PROD,All,2.75405,2.86702,3.8986,3.62112,3.8986,5.708,6.09614,6.51068,6.95341,7.42624,7.93122,8.47055,9.04654,9.66171,10.3187,11.0204,11.7698,12.5701,13.4249,14.3378,15.3127,16.354,17.4661,18.6538,19.9222,21.2769,22.7238,24.269,25.9193,27.6818,29.5641,31.5745,33.7216

TotalAnnualCapacity (Capacity Units)
Technology,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAW_MAT_CLK,1.90305,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,6.71847,11.5417,11.5417,11.5417,11.5417,11.5417,11.5417,11.5417,11.5417,21.2095,21.2095,21.2095,21.2095,21.2095,21.2095,21.2095,21.2095,21.2095,22.6927,24.2795
RAW_MAT_CEM,1.2534,1.2534,1.2534,1.25925,1.25925,1.91238,1.91238,2.60234,2.60234,2.60234,2.60234,2.60234,3.13001,3.13001,3.13001,4.0026,4.0026,4.0026,4.0026,4.25619,6.53939,6.53939,6.53939,6.53939,6.53939,6.53939,6.53939,7.39179,7.39179,7.85855,8.35461,8.88179,9.44204
PROD_CLK_TRAD,2.40892,2.4885,6.06345,6.06345,6.06345,6.06345,6.06345,6.06345,6.06345,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,12.7615,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,26.8475,28.725,30.7336
PROD_CEM,3.48614,3.62914,4.93494,4.93494,4.93494,8.80178,8.80178,8.80178,8.80178,9.4003,10.0395,10.7222,11.4513,14.8984,14.8984,14.8984,14.8984,16.9935,16.9935,19.3832,19.3832,20.7013,22.109,23.6124,26.9328,26.9328,28.7643,30.7202,32.8092,37.423,37.423,39.9677,42.6855
T5CEM_PRODCEM_PROD,2.75405,3.8986,3.8986,3.8986,3.8986,5.708,6.09614,6.51068,6.95341,7.42624,8.47055,8.47055,10.3187,10.3187,10.3187,11.0204,11.7698,12.5701,15.3127,15.3127,15.3127,16.354,19.9222,19.9222,19.9222,22.7238,22.7238,24.269,27.6818,27.6818,29.5641,31.5745,33.7216
PROD_CAL,0.185,0.1907,0.1967,0.203,0.2095,0.2163,0.2234,0.2308,0.2384,0.2464,0.2547,0.2633,0.2722,0.2815,0.2912,0.3012,0.3117,0.3225,0.3337,0.3454,0.3575,0.3701,0.3832,0.3967,0.4108,0.4254,0.4406,0.4563,0.4727,0.4896,0.5072,0.5254,0.5444
PROD_VID,0.0132,0.0139,0.0146,0.0153,0.016,0.0167,0.0175,0.0183,0.0191,0.02,0.0208,0.0217,0.0227,0.0237,0.0247,0.0258,0.0269,0.028,0.0292,0.0304,0.0317,0.033,0.0344,0.0358,0.0373,0.0388,0.0404,0.042,0.0437,0.0455,0.0474,0.0493,0.0513
CARBO_PROC,0.035,0.0366,0.0383,0.04,0.0418,0.0436,0.0456,0.0476,0.0496,0.0518,0.054,0.0563,0.0587,0.0611,0.0637,0.0664,0.0691,0.072,0.075,0.078,0.0812,0.0846,0.088,0.0916,0.0953,0.0991,0.1031,0.1073,0.1116,0.1161,0.1207,0.1255,0.1306
PROD_HIER,0.024,0.0252,0.0264,0.0277,0.029,0.0304,0.0318,0.0333,0.0348,0.0364,0.038,0.0397,0.0414,0.0432,0.0451,0.047,0.0491,0.0512,0.0533,0.0556,0.0579,0.0604,0.0629,0.0655,0.0682,0.071,0.074,0.077,0.0802,0.0834,0.0868,0.0904,0.094
PROD_FERRO,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.0011,0.0012,0.0013,0.0014,0.0014,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0021,0.0023,0.0024,0.0025,0.0026,0.0028,0.0029,0.003,0.0032,0.0034
LUBRI,0.0261,0.0275,0.029,0.0305,0.0321,0.0337,0.0354,0.0371,0.0389,0.0407,0.0427,0.0446,0.0467,0.0488,0.051,0.0533,0.0557,0.0582,0.0607,0.0634,0.0662,0.069,0.072,0.0751,0.0783,0.0816,0.085,0.0886,0.0923,0.0962,0.1002,0.1043,0.1086
CERA_PAR,0.0054,0.0057,0.0059,0.0062,0.0065,0.0068,0.0071,0.0075,0.0078,0.0081,0.0085,0.0089,0.0093,0.0097,0.0101,0.0105,0.011,0.0114,0.0119,0.0124,0.0129,0.0135,0.014,0.0146,0.0152,0.0158,0.0165,0.0172,0.0179,0.0186,0.0193,0.0201,0.0209
REFR_AC,0.713643,0.836776,0.959908,0.885703,1.33278,1.38342,1.43599,1.49056,1.5472,1.49563,1.44406,1.39248,1.34091,1.28934,1.23776,1.18619,1.13462,1.08304,1.02115,0.959266,0.897378,0.83549,0.773602,0.727186,0.68077,0.634354,0.587937,0.541521,0.495105,0.448689,0.402273,0.355857,0.309441

NewCapacity (Capacity Units )
Technology,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAW_MAT_CLK,1.90305,4.81542,0,0,0,0,0,0,0,0,0,0,0,0,4.82322,0,0,0,0,0,0,0,9.66785,0,0,0,0,0,0,0,0,1.48318,1.58682
RAW_MAT_CEM,1.2534,0,0,0.0058479,0,0.653135,0,0.689957,0,0,0,0,0.527667,0,0,0.872594,0,0,0,0.253591,2.2832,0,0,0,0,0,0,0.852398,0,0.466758,0.496058,0.527183,0.560249
PROD_CLK_TRAD,2.40892,0.0795803,3.57495,0,0,0,0,0,0,6.69804,0,0,0,0,0,0,0,0,0,0,14.086,0,0,0,0,0,0,0,0,0,0,1.87744,2.00863
PROD_CEM,3.48614,0.143003,1.3058,0,0,3.86685,0,0,0,0.598521,0.639221,0.682688,0.72911,3.44711,0,0,0,2.09508,0,2.3897,0,1.31806,1.40769,1.50341,3.32046,0,1.83143,1.95597,2.08898,4.61376,0,2.54476,2.71781
T5CEM_PRODCEM_PROD,2.75405,1.14455,0,0,0,1.8094,0.388144,0.414538,0.442726,0.472832,1.04431,0,1.84816,0,0,0.701672,0.749386,0.800344,2.74263,0,0,1.04127,3.56822,0,0,2.80154,0,1.54522,3.4128,0,1.88236,2.01036,2.14707
PROD_CAL,0.185,0.1907,0.1967,0.203,0.2095,0.2163,0.2234,0.2308,0.2384,0.2464,0.2547,0.2633,0.2722,0.2815,0.2912,0.3012,0.3117,0.3225,0.3337,0.3454,0.3575,0.3701,0.3832,0.3967,0.4108,0.4254,0.4406,0.4563,0.4727,0.4896,0.5072,0.5254,0.5444
PROD_VID,0.0132,0.0139,0.0146,0.0153,0.016,0.0167,0.0175,0.0183,0.0191,0.02,0.0208,0.0217,0.0227,0.0237,0.0247,0.0258,0.0269,0.028,0.0292,0.0304,0.0317,0.033,0.0344,0.0358,0.0373,0.0388,0.0404,0.042,0.0437,0.0455,0.0474,0.0493,0.0513
CARBO_PROC,0.035,0.0366,0.0383,0.04,0.0418,0.0436,0.0456,0.0476,0.0496,0.0518,0.054,0.0563,0.0587,0.0611,0.0637,0.0664,0.0691,0.072,0.075,0.078,0.0812,0.0846,0.088,0.0916,0.0953,0.0991,0.1031,0.1073,0.1116,0.1161,0.1207,0.1255,0.1306
PROD_HIER,0.024,0.0252,0.0264,0.0277,0.029,0.0304,0.0318,0.0333,0.0348,0.0364,0.038,0.0397,0.0414,0.0432,0.0451,0.047,0.0491,0.0512,0.0533,0.0556,0.0579,0.0604,0.0629,0.0655,0.0682,0.071,0.074,0.077,0.0802,0.0834,0.0868,0.0904,0.094
PROD_FERRO,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.0011,0.0012,0.0013,0.0014,0.0014,0.0015,0.0016,0.0017,0.0018,0.0019,0.002,0.0021,0.0023,0.0024,0.0025,0.0026,0.0028,0.0029,0.003,0.0032,0.0034
LUBRI,0.0261,0.0275,0.029,0.0305,0.0321,0.0337,0.0354,0.0371,0.0389,0.0407,0.0427,0.0446,0.0467,0.0488,0.051,0.0533,0.0557,0.0582,0.0607,0.0634,0.0662,0.069,0.072,0.0751,0.0783,0.0816,0.085,0.0886,0.0923,0.0962,0.1002,0.1043,0.1086
CERA_PAR,0.0054,0.0057,0.0059,0.0062,0.0065,0.0068,0.0071,0.0075,0.0078,0.0081,0.0085,0.0089,0.0093,0.0097,0.0101,0.0105,0.011,0.0114,0.0119,0.0124,0.0129,0.0135,0.014,0.0146,0.0152,0.0158,0.0165,0.0172,0.0179,0.0186,0.0193,0.0201,0.0209
REFR_AC,0.713643,0.836776,0.959908,0.885703,1.33278,1.38342,1.43599,1.49056,1.5472,1.49563,1.44406,1.39248,1.34091,1.28934,1.23776,1.18619,1.13462,1.08304,1.02115,0.959266,0.897378,0.83549,0.773602,0.727186,0.68077,0.634354,0.587937,0.541521,0.495105,0.448689,0.402273,0.355857,0.309441


Annual Production (Energy Units)
,GUA
