Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDPlow,0,,INORG_RCY_OS,,2018,,0.133871,0.133871,0.133871,0.133871,,,4.91976,4.91976,,,8.43387,8.11549,8.43387,,5.82148,,,,-7.49677,-7.21377,,8.4316,,14.4542,14.4542,,8.054871844906728e-05,,0.0001380834471734465,0.0001380834471734465,
NDPlow,0,,INORG_RCY_OS,,2019,,0.144152,0.144152,0.144152,0.144152,,,5.2976,4.90518,,,9.08159,8.09145,9.08159,,5.80423,,,,-8.07253,-7.1924,,8.4066,,14.4113,14.4113,,8.478484833220907e-05,,0.0001453452942399023,0.0001453452942399023,
NDPlow,0,,INORG_RCY_OS,,2020,,0.154434,0.154434,0.154434,0.154434,,,5.67544,4.86577,,,9.72932,8.02644,9.72932,,5.7576,,,,-8.64828,-7.13462,,8.3391,,14.2956,14.2956,,9.471527264841131e-05,,0.0001623689434622939,0.0001623689434622939,
NDPlow,0,,INORG_RCY_OS,,2021,,0.164715,0.164715,0.164715,0.164715,,,6.05328,4.80529,,,10.377,7.92667,10.377,,5.68603,,,,-9.22404,-7.04593,,8.2354,,14.1178,14.1178,,9.72289716765076e-05,,0.0001666774111039171,0.0001666774111039171,
NDPlow,0,,INORG_RCY_OS,,2022,,0.174996,0.174996,0.174996,0.174996,,,6.43112,4.72706,,,11.0248,7.79763,11.0248,,5.59347,,,,-9.7998,-6.93123,,8.1014,,13.8881,13.8881,,9.961225837039311e-05,,0.0001707642255286653,0.0001707642255286653,
NDPlow,0,,INORG_RCY_OS,,2023,,0.181646,0.181646,0.181646,0.181646,,,6.6755,4.54323,,,11.4437,7.49439,11.4437,,5.37594,,,,-10.1722,-6.66168,,7.7863,,13.3479,13.3479,,0.000100385907316867,,0.00017208991200090342,0.00017208991200090342,
NDPlow,0,,INORG_RCY_OS,,2024,,0.188549,0.188549,0.188549,0.188549,,,6.92917,4.36655,,,11.8786,7.20294,11.8786,,5.16688,,,,-10.5587,-6.40262,,7.4835,,12.8289,12.8289,,0.0001011656182843386,,0.00017342710791513912,0.00017342710791513912,
NDPlow,0,,INORG_RCY_OS,,2025,,0.195714,0.195714,0.195714,0.195714,,,7.19248,4.19674,,,12.33,6.92283,12.33,,4.96594,,,,-10.96,-6.15362,,7.1925,,12.33,12.33,,0.00010195139248843188,,0.00017477430168486602,0.00017477430168486602,
NDPlow,0,,INORG_RCY_OS,,2026,,0.203151,0.203151,0.203151,0.203151,,,7.46579,4.03353,,,12.7985,6.65361,12.7985,,4.77282,,,,-11.3764,-5.91432,,6.9128,,11.8505,11.8505,,0.00010274318961376515,,0.00017613122151463855,0.00017613122151463855,
NDPlow,0,,INORG_RCY_OS,,2027,,0.284703,0.284703,0.284703,0.284703,,,10.4629,5.23403,,,17.9363,8.63391,17.9363,,6.19336,,,,-15.9434,-7.67459,,8.9703,,15.3775,15.3775,,0.0001397951563335897,,0.00023964750332567119,0.00023964750332567119,
NDPlow,0,,INORG_RCY_OS,,2028,,0.363315,0.363315,0.363315,0.363315,,,13.3518,6.18447,,,22.8888,10.2017,22.8888,,7.318,,,,-20.3456,-9.06821,,10.5991,,18.1699,18.1699,,0.00017319790846147587,,0.0002969107002196729,0.0002969107002196729,
NDPlow,0,,INORG_RCY_OS,,2029,,0.438905,0.438905,0.438905,0.438905,,,16.1298,6.91778,,,27.651,11.4114,27.651,,8.18571,,,,-24.5787,-10.1434,,11.8559,,20.3243,20.3243,,0.0002031395951487224,,0.0003482382264787736,0.0003482382264787736,
NDPlow,0,,INORG_RCY_OS,,2030,,0.51139,0.51139,0.51139,0.51139,,,18.7936,7.4632,,,32.2176,12.3111,32.2176,,8.83109,,,,-28.6379,-10.9432,,12.7906,,21.9268,21.9268,,0.0002297938252255657,,0.0003939322718152554,0.0003939322718152554,
NDPlow,0,,INORG_RCY_OS,,2031,,0.544284,0.544284,0.544284,0.544284,,,20.0025,7.35486,,,34.2899,12.1324,34.2899,,8.7029,,,,-30.4799,-10.7843,,12.605,,21.6085,21.6085,,0.00023745178016986454,,0.00040705900746639863,0.00040705900746639863,
NDPlow,0,,INORG_RCY_OS,,2032,,0.578371,0.578371,0.578371,0.578371,,,21.2551,7.23654,,,36.4374,11.9372,36.4374,,8.5629,,,,-32.3888,-10.6108,,12.4021,,21.2609,21.2609,,0.0002449723557705038,,0.0004199535977789874,0.0004199535977789874,
NDPlow,0,,INORG_RCY_OS,,2033,,0.613663,0.613663,0.613663,0.613663,,,22.5521,7.10937,,,38.6608,11.7274,38.6608,,8.41242,,,,-34.3651,-10.4244,,12.1842,,20.8872,20.8872,,0.0002523502213071138,,0.0004326010187924878,0.0004326010187924878,
NDPlow,0,,INORG_RCY_OS,,2034,,0.650175,0.650175,0.650175,0.650175,,,23.8939,6.97441,,,40.961,11.5048,40.961,,8.25272,,,,-36.4098,-10.2265,,11.9529,,20.4907,20.4907,,0.0002595771850015666,,0.00044498977039533814,0.00044498977039533814,
NDPlow,0,,INORG_RCY_OS,,2035,,0.68792,0.68792,0.68792,0.68792,,,25.2811,6.83269,,,43.339,11.271,43.339,,8.08502,,,,-38.5235,-10.0187,,11.71,,20.0743,20.0743,,0.0002666479311327299,,0.00045711043773259,0.00045711043773259,
NDPlow,0,,INORG_RCY_OS,,2036,,0.726912,0.726912,0.726912,0.726912,,,26.714,6.68516,,,45.7955,11.0276,45.7955,,7.91045,,,,-40.7071,-9.80235,,11.4572,,19.6409,19.6409,,0.00027355455385009195,,0.000468951395180126,0.000468951395180126,
NDPlow,0,,INORG_RCY_OS,,2037,,0.767163,0.767163,0.767163,0.767163,,,28.1932,6.53271,,,48.3313,10.7762,48.3313,,7.73007,,,,-42.9611,-9.57883,,11.1959,,19.193,19.193,,0.0002802929501932521,,0.00048050319451765406,0.00048050319451765406,
NDPlow,0,,INORG_RCY_OS,,2038,,0.808686,0.808686,0.808686,0.808686,,,29.7192,6.37621,,,50.9472,10.518,50.9472,,7.54488,,,,-45.2864,-9.34935,,10.9277,,18.7332,18.7332,,0.0002868584797278562,,0.0004917573938191821,0.0004917573938191821,
NDPlow,0,,INORG_RCY_OS,,2039,,0.851495,0.851495,0.851495,0.851495,,,31.2925,6.21643,,,53.6442,10.2544,53.6442,,7.35581,,,,-47.6837,-9.11506,,10.6539,,18.2638,18.2638,,0.00029324702441009467,,0.0005027083814607334,0.0005027083814607334,
NDPlow,0,,INORG_RCY_OS,,2040,,0.895602,0.895602,0.895602,0.895602,,,32.9134,6.05411,,,56.423,9.98668,56.423,,7.16374,,,,-50.1537,-8.87705,,10.3757,,17.7869,17.7869,,0.0002994531433590266,,0.0005133485057072912,0.0005133485057072912,
NDPlow,0,,INORG_RCY_OS,,2041,,0.94102,0.94102,0.94102,0.94102,,,34.5825,5.88993,,,59.2843,9.71586,59.2843,,6.96947,,,,-52.6971,-8.63632,,10.0943,,17.3045,17.3045,,0.0003054747297781786,,0.0005236710915228359,0.0005236710915228359,
NDPlow,0,,INORG_RCY_OS,,2042,,0.987761,0.987761,0.987761,0.987761,,,36.3002,5.72452,,,62.229,9.44301,62.229,,6.77375,,,,-55.3146,-8.39379,,9.8108,,16.8186,16.8186,,0.00031130829782709946,,0.0005336721027840776,0.0005336721027840776,
NDPlow,0,,INORG_RCY_OS,,2043,,1.03584,1.03584,1.03584,1.03584,,,38.067,5.55847,,,65.2578,9.1691,65.2578,,6.57726,,,,-58.0069,-8.15031,,9.5262,,16.3307,16.3307,,0.00031695171524595084,,0.0005433465112348546,0.0005433465112348546,
NDPlow,0,,INORG_RCY_OS,,2044,,1.08526,1.08526,1.08526,1.08526,,,39.8834,5.39231,,,68.3716,8.895,68.3716,,6.38064,,,,-60.7747,-7.90667,,9.2415,,15.8425,15.8425,,0.0003224032445562985,,0.0005526917383047939,0.0005526917383047939,
NDPlow,0,,INORG_RCY_OS,,2045,,1.13605,1.13605,1.13605,1.13605,,,41.7497,5.22652,,,71.571,8.62152,71.571,,6.18446,,,,-63.6187,-7.66357,,8.9573,,15.3554,15.3554,,0.00032765995252987936,,0.0005617034484682763,0.0005617034484682763,
