Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
NDP,,,Suelo,,,,2016,,,,3.6543,3.6543,3.6543,3.6543,3.6543,3.6543,3.6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2017,,,,,3.6543,3.6543,3.64112,3.64112,3.64112,3.64112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2018,,,,0.0226838,3.67699,3.67699,3.62793,3.62793,3.62793,3.62793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2019,,,,,3.67699,3.67699,3.61475,3.61475,3.61475,3.61475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2020,,,,,3.67699,3.67699,3.60157,3.60157,3.60157,3.60157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2021,,,,,3.67699,3.67699,3.58838,3.58838,3.58838,3.58838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2022,,,,,3.67699,3.67699,3.5752,3.5752,3.5752,3.5752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2023,,,,,3.67699,3.67699,3.56201,3.56201,3.56201,3.56201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2024,,,,,3.67699,3.67699,3.54883,3.54883,3.54883,3.54883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2025,,,,,3.67699,3.67699,3.53753,3.53753,3.53753,3.53753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2026,,,,,3.67699,3.67699,3.54707,3.54707,3.54707,3.54707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2027,,,,,3.67699,3.67699,3.5489,3.5489,3.5489,3.5489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2028,,,,,3.67699,3.67699,3.55486,3.55486,3.55486,3.55486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2029,,,,,3.67699,3.67699,3.56487,3.56487,3.56487,3.56487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2030,,,,,3.67699,3.67699,3.57882,3.57882,3.57882,3.57882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2031,,,,,3.67699,3.67699,3.59708,3.59708,3.59708,3.59708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2032,,,,,3.67699,3.67699,3.61957,3.61957,3.61957,3.61957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2033,,,,,3.67699,3.67699,3.64622,3.64622,3.64622,3.64622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2034,,,,,3.67699,3.67699,3.67699,3.67699,3.67699,3.67699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2035,,,,0.0348413,3.71183,3.71183,3.71183,3.71183,3.71183,3.71183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2036,,,,0.0395432,3.75137,3.75137,3.75137,3.75137,3.75137,3.75137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2037,,,,0.0442349,3.79561,3.79561,3.79561,3.79561,3.79561,3.79561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2038,,,,0.048931,3.84454,3.84454,3.84454,3.84454,3.84454,3.84454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2039,,,,0.237213,4.08175,4.08175,4.08175,4.08175,4.08175,4.08175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2040,,,,0.0143929,4.09614,4.09614,4.09614,4.09614,4.09614,4.09614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2041,,,,0.0193007,4.11544,4.11544,4.11544,4.11544,4.11544,4.11544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,,,Suelo,,,,2042,,,,0.00793884,4.12338,4.12338,4.12338,4.12338,4.12338,4.12338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
